codigo_municipio;nombre_alcalde;titulo_alcalde;telefono_alcalde;email_alcalde
5001;FEDERICO GUTIÉRREZ ZULUAGA;Alcalde;4444144-3855208-3855209;federico.gutierrez@medellin.gov.co
5002;MANUEL ALBERTO GUZMÁN MARÍN;Alcalde;8647611-8647384 Ext 102 - 8647182-8647004);alcalde@abejorral-antioquia.gov.co
5004;DANIEL ALBERTO SALAS GALLEGO;Alcalde;8520024-8520086-8520019-8520120;alcaldia@abriaqui-antioquia.gov.co
5021;GLORIA CECILIA NARANJO OSORIO;Alcaldesa;8660102-8660016-866 0140-8660133;alcaldia@alejandria-antioquia.gov.co
5030;WILSER DARÍO MOLINA MOLINA;Alcalde;8472122-8474920-8470126;alcaldia@amaga-antioquia.gov.co
5031;WILMAR ALONSO VÉLEZ LONDOÑO;Alcalde;8301919 - 8300155;alcaldia@amalfi-antioquia.gov.co
5034;GERMÁN ALEXANDER VÉLEZ OROZCO;Alcalde;8414101-8414619-8414291-8414652;alcaldia@andes-antioquia.gov.co
5036;JOSÉ LUIS MONTOYA QUICENO;Alcalde;8421948-8421793;alcaldia@angelopolis-antioquia.gov.co
5038;VÍCTOR IGNACIO MEDINA GÓMEZ;Alcalde;8645161-8645046-8645162;alcaldia@angostura-antioquia.gov.co
5040;GUSTAVO ALFREDO SILVA GUTIÉRREZ;Alcalde;8350842-8350404-8350449-8350849;alcaldia@anori-antioquia.gov.co
5044;JUAN GUILLERMO HINCAPIÉ FIGUEROA;Alcalde;8522082-8522042-8522102;alcaldia@anza-antioquia.gov.co
5045;HÉCTOR RANGEL PALACIOS RODRÍGUEZ;Alcalde;8280457-8281038-8282188;alcaldia@apartado.gov.co
5051;ÁLVARO GONZÁLEZ ÁVILA;Alcalde;8200367-8200973-8201289-8200130;alcaldia@arboletes-antioquia.gov.co
5055;DIEGO ALEXANDER LÓPEZ GIRALDO;Alcalde;8650077-8650106-8650405-8650057;alcaldia@argelia-antioquia.gov.co
